name,last_name,first_name,display,position,proj
JAUANJENNINGS,JENNINGS,JAUAN,Jauan Jennings,WR,75.802652964
ELIJAHMITCHELL,MITCHELL,ELIJAH,Elijah Mitchell,RB,75.035878358
MIKEGESICKI,GESICKI,MIKE,Mike Gesicki,TE,74.907677029
BUCKYIRVING,IRVING,BUCKY,Bucky Irving,RB,74.75878381300001
GREGDULCICH,DULCICH,GREG,Greg Dulcich,TE,74.719792932
JELANIWOODS,WOODS,JELANI,Jelani Woods,TE,73.91228101300001
VANJEFFERSON,JEFFERSON,VAN,Van Jefferson,WR,73.726315083
XAVIERGIPSON,GIPSON,XAVIER,Xavier Gipson,WR,73.6745962995
JOSHREYNOLDS,REYNOLDS,JOSH,Josh Reynolds,WR,72.97309537000001
TYRONETRACY,TRACY,TYRONE,Tyrone Tracy Jr.,RB,72.930846574
CARDINALS,CARDINALS,CARDINALS,Arizona Cardinals,DEF,72.64945884
TROYFRANKLIN,FRANKLIN,TROY,Troy Franklin,WR,71.319613326
CEDRICTILLMAN,TILLMAN,CEDRIC,Cedric Tillman,WR,71.254825268
JUSTINFIELDS,FIELDS,JUSTIN,Justin Fields,QB,71.002294968
DEVONTEZWALKER,WALKER,DEVONTEZ,Devontez Walker,WR,70.56146941
DAMEONPIERCE,PIERCE,DAMEON,Dameon Pierce,RB,70.0351456785
NELSONAGHOLOR,AGHOLOR,NELSON,Nelson Agholor,WR,69.06239344000001
DANIELBELLINGER,BELLINGER,DANIEL,Daniel Bellinger,TE,68.536594093
TREYPALMER,PALMER,TREY,Trey Palmer,WR,67.96995724850001
MIKEMAYER,MAYER,MIKE,Michael Mayer,TE,67.442844931
NOAHGRAY,GRAY,NOAH,Noah Gray,TE,66.255996779
TANKBIGSBY,BIGSBY,TANK,Tank Bigsby,RB,65.9329821405
JATAVIONSANDERS,SANDERS,JATAVION,Ja'Tavion Sanders,TE,65.930105557
TYLERHIGBEE,HIGBEE,TYLER,Tyler Higbee,TE,65.000300067
SAMAJEPERINE,PERINE,SAMAJE,Samaje Perine,RB,64.91846475
JUSTICEHILL,HILL,JUSTICE,Justice Hill,RB,64.321644532
KENNETHGAINWELL,GAINWELL,KENNETH,Kenneth Gainwell,RB,63.769046838
CALVINAUSTIN,AUSTIN,CALVIN,Calvin Austin III,WR,63.20511590299999
ROSCHONJOHNSON,JOHNSON,ROSCHON,Roschon Johnson,RB,61.004443031499996
DONTAFOREMAN,FOREMAN,DONTA,D'Onta Foreman,RB,60.9073880845
JAYLENWRIGHT,WRIGHT,JAYLEN,Jaylen Wright,RB,60.89446529600001
ERICGRAY,GRAY,ERIC,Eric Gray,RB,60.2656102015
MILESSANDERS,SANDERS,MILES,Miles Sanders,RB,59.08194437299999
KIMANIVIDAL,VIDAL,KIMANI,Kimani Vidal,RB,57.932615287
K.J.OSBORN,OSBORN,K.J.,K.J. Osborn,WR,56.883771922
ALECPIERCE,PIERCE,ALEC,Alec Pierce,WR,56.722899936000005
AJDILLON,DILLON,AJ,AJ Dillon,RB,56.612230658499996
TREYSERMON,SERMON,TREY,Trey Sermon,RB,56.277781563000005
TYJOHNSON,JOHNSON,TY,Ty Johnson,RB,56.017118313
GERALDEVERETT,EVERETT,GERALD,Gerald Everett,TE,54.34788141890001
TUTUATWELL,ATWELL,TUTU,Tutu Atwell,WR,53.845088114000006
NOAHBROWN,BROWN,NOAH,Noah Brown,WR,52.797117544
TOMMYTREMBLE,TREMBLE,TOMMY,Tommy Tremble,TE,52.745096105
JALENNAILOR,NAILOR,JALEN,Jalen Nailor,WR,52.431783327
CHASEEDMONDS,EDMONDS,CHASE,Chase Edmonds,RB,52.1249864705
WILLSHIPLEY,SHIPLEY,WILL,Will Shipley,RB,51.93585227300001
JAKEBOBO,BOBO,JAKE,Jake Bobo,WR,51.329077333
PARKERWASHINGTON,WASHINGTON,PARKER,Parker Washington,WR,51.280436775
KAVONTAETURPIN,TURPIN,KAVONTAE,KaVontae Turpin,WR,51.227484743000005
CEDWILSON,WILSON,CED,Ced Wilson,WR,50.458669748999995
JEREMYRUCKERT,RUCKERT,JEREMY,Jeremy Ruckert,TE,50.213164597
CHIGOKONKWO,OKONKWO,CHIG,Chig Okonkwo,TE,49.55
JOSHWHYLE,WHYLE,JOSH,Josh Whyle,TE,48.931033811
DYLANLAUBE,LAUBE,DYLAN,Dylan Laube,RB,48.4128003725
EVANHULL,HULL,EVAN,Evan Hull,RB,48.1357759915
WILLDISSLY,DISSLY,WILL,Will Dissly,TE,45.597981667
JORDANMASON,MASON,JORDAN,Jordan Mason,RB,45.0126766625
KEATONMITCHELL,MITCHELL,KEATON,Keaton Mitchell,RB,44.8393981305
KYLENGRANSON,GRANSON,KYLEN,Kylen Granson,TE,44.6430676
JACOBYBRISSETT,BRISSETT,JACOBY,Jacoby Brissett,QB,44.4964308065
MIKECARTER,CARTER,MIKE,Michael Carter,RB,44.119075984999995
DURHAMSMYTHE,SMYTHE,DURHAM,Durham Smythe,TE,43.71903866700001
