name,last_name,first_name,display,position,proj
BUCKYIRVING,IRVING,BUCKY,Bucky Irving,RB,58.99891105200001
AMEERABDULLAH,ABDULLAH,AMEER,Ameer Abdullah,RB,55.846918066
NYHEIMHINES,HINES,NYHEIM,Nyheim Hines,RB,55.499273871
DAMEONPIERCE,PIERCE,DAMEON,Dameon Pierce,RB,55.13857244199999
ISAIAHDAVIS,DAVIS,ISAIAH,Isaiah Davis,RB,55.087676986000005
DONTAFOREMAN,FOREMAN,DONTA,D'Onta Foreman,RB,49.436906517
MIKECARTER,CARTER,MIKE,Michael Carter,RB,52.10995738
DERNESTJOHNSON,JOHNSON,DERNEST,D'Ernest Johnson,RB,48.160271144000006
DEUCEVAUGHN,VAUGHN,DEUCE,Deuce Vaughn,RB,45.20896331
KALIFRAYMOND,RAYMOND,KALIF,Kalif Raymond,WR,84.01716158900001
COLTS,COLTS,COLTS,Colts D/ST,DEF,98.034039391
SEAHAWKS,SEAHAWKS,SEAHAWKS,Seahawks D/ST,DEF,98.00674206500001
EDDYPINEIRO,PINEIRO,EDDY,Eddy Pineiro,K,134.089219678
CHASEMCLAUGHLIN,MCLAUGHLIN,CHASE,Chase McLaughlin,K,133.731844068
JONNUSMITH,SMITH,JONNU,Jonnu Smith,TE,83.19855537519999
DAWSONKNOX,KNOX,DAWSON,Dawson Knox,TE,81.727022948
JELANIWOODS,WOODS,JELANI,Jelani Woods,TE,80.55742543000001
NELSONAGHOLOR,AGHOLOR,NELSON,Nelson Agholor,WR,80.94189086000002
VANJEFFERSON,JEFFERSON,VAN,Van Jefferson,WR,79.42735253599999
ROMANWILSON,WILSON,ROMAN,Roman Wilson,WR,76.250493304
TIMPATRICK,PATRICK,TIM,Tim Patrick,WR,73.003633076
DAREOGUNBOWALE,OGUNBOWALE,DARE,Dare Ogunbowale,RB,44.07961414399999
AJDILLON,DILLON,AJ,AJ Dillon,RB,43.51873090000001
WILLLEVIS,LEVIS,WILL,Will Levis,QB,222.915249102
DEREKCARR,CARR,DEREK,Derek Carr,QB,223.74844314900002
RUSSELLWILSON,WILSON,RUSSELL,Russell Wilson,QB,191.39807657200004
BONIX,NIX,BO,Bo Nix,QB,191.21045894600005
MIKEGALLUP,GALLUP,MIKE,Michael Gallup,WR,66.564337696
JAMISONCROWDER,CROWDER,JAMISON,Jamison Crowder,WR,66.202837
JOSHREYNOLDS,REYNOLDS,JOSH,Josh Reynolds,WR,65.345285462
JONATHANMINGO,MINGO,JONATHAN,Jonathan Mingo,WR,64.85387696800001
KAVONTAETURPIN,TURPIN,KAVONTAE,KaVontae Turpin,WR,61.46117845899999
CHRISRODRIGUEZ,RODRIGUEZ,CHRIS,Chris Rodriguez Jr.,RB,39.027893668
TRAYVEONWILLIAMS,WILLIAMS,TRAYVEON,Trayveon Williams,RB,41.30233086
EVANHULL,HULL,EVAN,Evan Hull,RB,38.137145813
CRAIGREYNOLDS,REYNOLDS,CRAIG,Craig Reynolds,RB,39.826402031
WILLSHIPLEY,SHIPLEY,WILL,Will Shipley,RB,38.468897203999994
KYLEJUSZCZYK,JUSZCZYK,KYLE,Kyle Juszczyk,RB,37.152079523000005
CORDARRELLEPATTERSON,PATTERSON,CORDARRELLE,Cordarrelle Patterson,RB,36.445650983
ISAIAHSPILLER,SPILLER,ISAIAH,Isaiah Spiller,RB,33.188547484000004
ANDREIIOSIVAS,IOSIVAS,ANDREI,Andrei Iosivas,WR,59.912828278
TEXANS,TEXANS,TEXANS,Texans D/ST,DEF,95.016691478
PANTHERS,PANTHERS,PANTHERS,Panthers D/ST,DEF,91.66177275499997
JASONSANDERS,SANDERS,JASON,Jason Sanders,K,131.801460217
NICKFOLK,FOLK,NICK,Nick Folk,K,132.10029322100002
DANIELBELLINGER,BELLINGER,DANIEL,Daniel Bellinger,TE,72.324122636
TYLERHIGBEE,HIGBEE,TYLER,Tyler Higbee,TE,77.19542793
COLBYPARKINSON,PARKINSON,COLBY,Colby Parkinson,TE,76.31472887
GREGDULCICH,DULCICH,GREG,Greg Dulcich,TE,70.23969663599999
TUTUATWELL,ATWELL,TUTU,Tutu Atwell,WR,58.195772954999995
CALVINAUSTIN,AUSTIN,CALVIN,Calvin Austin III,WR,55.717122482
GARDNERMINSHEW,MINSHEW,GARDNER,Gardner Minshew,QB,125.150536044
PACKERS,PACKERS,PACKERS,Packers D/ST,DEF,89.84339404299999
EAGLES,EAGLES,EAGLES,Eagles D/ST,DEF,88.01843576199998
PATRIOTS,PATRIOTS,PATRIOTS,Patriots D/ST,DEF,85.14346184600002
RAIDERS,RAIDERS,RAIDERS,Raiders D/ST,DEF,89.94697518799998
AIDANOCONNELL,OCONNELL,AIDAN,Aidan O'Connell,QB,111.07720455099998
JUSTINFIELDS,FIELDS,JUSTIN,Justin Fields,QB,71.646296198
KENNYMCINTOSH,MCINTOSH,KENNY,Kenny McIntosh,RB,32.267651571
JULIUSCHESTNUT,CHESTNUT,JULIUS,Julius Chestnut,RB,31.929366517000002
JORDANMASON,MASON,JORDAN,Jordan Mason,RB,33.694019864000005
JASEMCCLELLAN,MCCLELLAN,JASE,Jase McClellan,RB,28.17188369
KEVINHARRIS,HARRIS,KEVIN,Kevin Harris,RB,27.435171297
DYLANLAUBE,LAUBE,DYLAN,Dylan Laube,RB,27.321588809
ISAACGUERENDO,GUERENDO,ISAAC,Isaac Guerendo,RB,24.600021251999998
SAMDARNOLD,DARNOLD,SAM,Sam Darnold,QB,44.364264653999996
ZACHERTZ,ERTZ,ZACH,Zach Ertz,TE,72.281966226
ISAIAHLIKELY,LIKELY,ISAIAH,Isaiah Likely,TE,62.78061830200001
MIKEMAYER,MAYER,MIKE,Michael Mayer,TE,62.868518126000005
MIKEGESICKI,GESICKI,MIKE,Mike Gesicki,TE,62.465957862
MIKEPENIX,PENIX,MIKE,Michael Penix Jr.,QB,31.319770525999996
SAMHOWELL,HOWELL,SAM,Sam Howell,QB,50.169119102
TYRODTAYLOR,TAYLOR,TYROD,Tyrod Taylor,QB,31.909985618000004
JOEFLACCO,FLACCO,JOE,Joe Flacco,QB,25.123589326999998
JAKEBROWNING,BROWNING,JAKE,Jake Browning,QB,37.062929988
ROYCEFREEMAN,FREEMAN,ROYCE,Royce Freeman,RB,24.558996272
ISRAELABANIKANDA,ABANIKANDA,ISRAEL,Israel Abanikanda,RB,23.335152112999996
RONNIERIVERS,RIVERS,RONNIE,Ronnie Rivers,RB,24.568000195000003
JOHNNYMUNDT,MUNDT,JOHNNY,Johnny Mundt,TE,47.632834482
